"CustomerID","Churn","MonthlyRevenue","MonthlyMinutes","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","PercChangeMinutes","PercChangeRevenues","DroppedCalls","BlockedCalls","UnansweredCalls","CustomerCareCalls","ThreewayCalls","ReceivedCalls","OutboundCalls","InboundCalls","PeakCallsInOut","OffPeakCallsInOut","DroppedBlockedCalls","CallForwardingCalls","CallWaitingCalls","MonthsInService","UniqueSubs","ActiveSubs","ServiceArea","Handsets","HandsetModels","CurrentEquipmentDays","AgeHH1","AgeHH2","ChildrenInHH","HandsetRefurbished","HandsetWebCapable","TruckOwner","RVOwner","Homeownership","BuysViaMailOrder","RespondsToMailOffers","OptOutMailings","NonUSTravel","OwnsComputer","HasCreditCard","RetentionCalls","RetentionOffersAccepted","NewCellphoneUser","NotNewCellphoneUser","ReferralsMadeBySubscriber","IncomeGroup","OwnsMotorcycle","AdjustmentsToCreditRating","HandsetPrice","MadeCallToRetentionTeam","CreditRating","PrizmCode","Occupation","MaritalStatus"
3001302,"Yes",35.34,78,20,0,38,0,35,9,0,0,4.3,0,0,17.5,0,2,9,5.7,0,0,0,48,1,1,"INDIND317",1,1,1462,42,42,"No","No","No","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,9,"No",0,"Unknown","No","1-Highest","Suburban","Other","Yes"
3001410,"No",99.04,1112,60,0,247,0,-265,-29,16.7,15.3,51,4.7,0.3,506.5,37.3,56.3,165.7,134.7,32,0,8,48,2,2,"SANMCA210",7,5,48,52,42,"No","Yes","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,4,"No",0,"80","No","3-Good","Suburban","Other","Yes"
3001438,"No",83.67,1141,75,0.5,0,0,-28,-7.8,9.3,7.7,44,0,0,449.9,14.3,1,173.3,175.7,17,0,2.7,52,2,1,"SANSAN210",3,3,631,54,46,"No","No","Yes","Yes","Yes","Known","No","No","No","No","No","No",0,0,"Yes","No",0,7,"No",0,"10","No","3-Good","Suburban","Other","Yes"
3001578,"No",93.7,1509,75,0,64,0,-148,-6.5,10.3,5,63.3,0.7,0.3,504.5,22.7,0.7,405.7,111.7,15.3,0,20.3,50,1,1,"BIRBIR205",2,2,582,38,30,"Yes","No","Yes","Yes","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,4,"No",0,"30","No","1-Highest","Rural","Professional","Yes"
3001650,"No",87.71,1730,75,0.25,32,0,-29,-10.5,23.7,0,63.7,0.3,0.7,708.3,46.3,13,465.3,46.7,23.7,0,4.7,48,1,1,"PHXPHX602",7,3,239,60,52,"Yes","No","Yes","Yes","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","Yes",0,6,"No",1,"30","No","3-Good","Suburban","Other","Yes"
3001814,"No",99.58,1058,75,0,0,0.9,-48,-20.9,10.7,1,39.3,0,0.3,324.1,43.7,0,214.3,26.3,11.7,0,4.7,47,1,1,"SEASPO509",2,2,702,0,0,"No","No","No","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,0,"No",2,"30","No","1-Highest","Other","Other","Unknown"
3001866,"No",103.21,1526,76,2.23,0,0,92,4.3,21.3,4.7,106.3,0.3,0.3,331.3,74,18.3,479.7,41,26,0,3,53,2,2,"PHXPHX602",4,3,663,38,32,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,5,"No",0,"30","No","1-Highest","Suburban","Other","Unknown"
3001870,"Yes",61.62,674,55,2.97,30,0,169,10.3,2.7,4.3,41,0,0.3,126.6,14.3,0,135.3,95.3,7,0,3.7,47,1,1,"MIADEL561",2,2,463,28,28,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","No",0,6,"Yes",1,"30","No","1-Highest","Suburban","Other","Yes"
3001922,"No",93.58,1804,75,10.15,26,0,205,13,17.7,0.3,47.7,0,4,600.8,54.3,1.3,493,66,18,0,21.3,49,1,1,"SFRSAC916",5,3,341,50,44,"No","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","Yes",0,6,"No",2,"10","No","4-Medium","Suburban","Other","Yes"
3001930,"Yes",63.3,381,50,2.72,0,0,108,-10.3,4.7,0,7,0,0,109,34,22.7,85.7,20.3,4.7,0,0,47,2,2,"SEABLV425",7,4,231,46,0,"No","Yes","Yes","No","No","Known","No","No","No","No","No","No",0,0,"No","Yes",0,5,"No",0,"150","No","1-Highest","Other","Other","No"
3001974,"No",332.74,2935,200,0.99,470,34.3,-774,-19,22,11,70.7,0,0.3,762.5,79.7,29.7,746,112,33,0,64.7,49,3,2,"MIAMIA305",6,5,382,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,0,"No",0,"80","No","1-Highest","Suburban","Other","Unknown"
3001990,"No",88.24,454,85,0,0,0,-96,0,9.3,2.3,15.3,0,0,92,18,19.7,109.7,22.7,11.7,0,1.3,53,2,2,"SANMCA210",6,5,250,50,44,"No","No","Yes","Yes","Yes","Known","No","No","No","No","No","No",0,0,"No","Yes",0,4,"No",1,"60","No","3-Good","Rural","Other","Yes"
3001998,"No",50,306,50,0,0,0,-25,0,1.3,0.3,18,0.3,0,64.7,18.3,8.7,91,32,1.7,0,2,49,2,2,"INDIND317",5,4,3,46,40,"Yes","No","Yes","No","No","Known","Yes","Yes","No","Yes","Yes","Yes",0,0,"No","Yes",0,7,"No",0,"60","No","6-VeryLow","Suburban","Self","Yes"
3002130,"No",58.98,785,58,0,10,0,55,2.9,0,3,28,0,0,276.1,22,12,218.3,103.3,3,0,6,53,1,1,"SANSAN210",3,3,861,46,46,"Yes","No","Yes","Yes","Yes","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,2,"No",0,"30","No","1-Highest","Other","Clerical","Yes"
3002330,"Yes",93.97,1218,115,1.49,11,0,-114,7.8,7,14,76.3,0,0.3,297,35,6.7,164,107.3,21,0,2.7,49,4,2,"DALDAL214",7,6,372,46,46,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","Yes",0,1,"No",0,"30","No","1-Highest","Suburban","Professional","Yes"
3002458,"No",92.3,930,80,5.45,0,0,351,5.8,5,7,33,1.7,0,207.1,42.3,1,154,37.3,12,0,2.7,49,1,1,"MIAFTL954",7,4,283,54,30,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",1,1,"No","Yes",0,1,"No",0,"30","Yes","3-Good","Other","Other","Unknown"
3002778,"Yes",5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,1,"PHICHC215",1,1,1584,44,32,"Yes","No","No","No","No","Known","Yes","Yes","No","Yes","Yes","Yes",1,0,"No","Yes",0,9,"No",0,"Unknown","Yes","1-Highest","Suburban","Self","Yes"
3002850,"No",29.99,149,30,0,0,0,83,0,4.3,1.3,14,0,0,33.3,2,1,51,25.3,5.7,0,0.3,51,1,1,"SEASEA206",2,2,741,46,50,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,9,"No",0,"30","No","3-Good","Other","Other","Yes"
3003022,"No",131.3,1262,80,5.94,0,0.3,233,-7.6,9,1.3,18.7,0.3,0.3,373.8,60.3,2,304.3,44,10.3,0,12.3,50,1,1,"SFRSAC916",4,3,526,44,36,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,9,"No",0,"200","No","1-Highest","Suburban","Professional","Yes"
3003086,"No",85.56,1344,79,1.24,0,0.4,-195,11.4,9,0.3,43.3,0,0,607.9,132.3,6.7,524,52,9.3,0,13.7,52,1,1,"SEACDA208",2,2,298,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,0,"No",0,"30","No","1-Highest","Other","Other","Unknown"
3003106,"Yes",106.57,969,67,0,112,0.2,-844,-78.2,18.3,15,97.7,0,0,463.4,13,5.7,434.3,127,33.3,0,9,52,1,1,"MIANDA305",4,3,630,40,0,"No","No","Yes","Yes","No","Known","No","No","No","No","No","Yes",0,0,"No","No",0,4,"No",1,"30","No","3-Good","Suburban","Other","Yes"
3003122,"No",55,358,55,0,0,0,160,0,3,5,29.3,0.3,0,104.9,28.3,13.7,138.7,35.7,8,0,0.3,48,5,4,"MIANDA305",5,3,849,60,92,"No","Yes","No","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,9,"No",1,"10","No","2-High","Suburban","Other","No"
3003166,"No",79.28,658,75,0.25,0,0,42,0,2.3,4.3,15.3,0,0,69.3,24,1.7,76.7,64.3,6.7,0,0,48,1,1,"MINMIN612",6,3,317,30,0,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,6,"No",0,"80","No","4-Medium","Suburban","Other","No"
3003234,"Yes",26.73,33,25,0,3,0,5,1.8,2.3,0,3.3,0,0.3,1.2,7.7,0,8.3,13.3,2.3,0,0,46,1,1,"NYCMAN917",1,1,1396,58,58,"No","No","No","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,7,"No",0,"Unknown","No","1-Highest","Other","Professional","Yes"
3003466,"No",28.75,96,30,0,0,0,48,-0.3,3,1,6.7,0,0,3.8,1.7,0.7,9.3,3.7,4,0,0,45,1,1,"DALFTW817",1,1,1383,58,58,"No","No","No","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,4,"No",0,"Unknown","No","1-Highest","Suburban","Professional","No"
3003490,"No",77.34,644,78,0,0,0,-344,-27.4,24.3,1,13.7,0.7,0,88.1,19.7,17.7,101,34.3,25.3,0,0.3,47,2,1,"NYCMAN917",9,7,237,32,32,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","Yes",0,6,"Yes",0,"400","No","1-Highest","Other","Other","Yes"
3003682,"No",73.19,611,64,2.48,18,0,83,25.7,5.3,0.3,13.7,0.7,0,248.2,19.3,7.3,68,54.7,5.7,0,0,49,1,1,"PHXPHX602",6,6,82,38,38,"No","No","Yes","No","No","Known","No","No","No","Yes","Yes","Yes",0,0,"No","Yes",0,7,"No",0,"130","No","1-Highest","Town","Professional","No"
3003794,"No",50.6,311,50,0,0,0,6,-0.6,5.3,1.3,28,0,0,71.5,54.7,13.7,101.7,59,6.7,0,0,45,5,2,"SFRPAL650",5,2,800,30,0,"No","Yes","No","No","No","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,7,"No",0,"10","No","1-Highest","Suburban","Other","Unknown"
3004006,"No",50.07,2,44,0,0,0,6,1.9,0,0,0,0,0,0,0.3,0,1,0,0,0,0,45,1,1,"NYCMAN917",3,3,863,34,0,"No","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,6,"No",1,"10","No","4-Medium","Other","Self","No"
3004062,"No",177.48,1938,75,0,84,7.9,135,-29,8.3,17,93.3,0,0,810.3,13.3,15.7,421,136,25.3,0,17.3,48,1,1,"OKCTUL918",5,4,71,38,0,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,2,"No",0,"10","No","4-Medium","Other","Professional","Yes"
3004082,"Yes",50.99,904,60,0.25,2,0,-54,0,35.7,2,32.3,1.3,0,306.1,45.3,7.7,136.3,148,37.7,0,4.3,48,6,3,"SFROAK510",4,4,121,46,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,0,"No",0,"150","No","3-Good","Other","Other","No"
3004250,"No",30,19,30,0,0,0,-3,0,0,0.3,2.3,0,0,3.9,4.3,0,3.7,10,0.3,0,0,46,1,1,"MINMIN612",1,1,1405,52,50,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,6,"No",0,"Unknown","No","1-Highest","Suburban","Other","Yes"
3004322,"Yes",68.83,424,80,0.5,13,0,39,14.8,2,2.7,26,1.3,0,77.2,39.3,23.3,102.3,62,4.7,0,2,46,3,3,"DALDAL214",6,4,228,42,42,"Yes","No","Yes","No","No","Known","No","No","No","Yes","No","Yes",0,0,"No","Yes",0,7,"No",0,"30","No","3-Good","Other","Other","No"
3004510,"No",31.05,307,30,0,3,0,52,3.1,3.3,4,32.7,3.7,0.3,44.3,6.7,0.7,87.7,80.7,7.3,0,0.7,46,1,1,"DALDAL214",3,2,518,30,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,4,"No",0,"30","No","1-Highest","Other","Other","Unknown"
3004562,"Yes",33.56,4,40,0,0,0.3,-4,-0.3,0.7,0,0.7,0,0,0,4,0,0,4,0.7,0,0,50,1,1,"BOSBOS617",3,3,672,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,0,"No",0,"10","No","1-Highest","Town","Other","Unknown"
3004654,"No",84.14,886,75,2.23,5,0,176,0.1,4.7,3.7,45,0,0,121.4,56,10.3,169.3,50.3,8.3,0,4,44,1,1,"DALDAL214",5,3,203,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,0,"No",0,"30","No","3-Good","Other","Other","Unknown"
3004846,"No",96.77,1677,75,3.96,42,0,-69,1.9,10,2.3,103.7,0,0,503.8,42.3,8,589,193,12.3,0,24.3,45,1,1,"PHXTUC520",2,1,1030,58,28,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","No",0,3,"No",0,"30","No","3-Good","Other","Self","No"
3004906,"Yes",12.61,0,13,0,0,0,0,-13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,1,"NYCNAS516",2,2,568,56,56,"Yes","Yes","No","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,9,"No",1,"30","No","5-Low","Suburban","Other","Yes"
3004990,"Yes",103.5,698,50,0.25,178,0,-40,-9.6,6,0,27.7,0,0,114.9,101,0,120.7,94.7,6,0,0,49,1,1,"NYCBRO917",3,2,939,62,56,"Yes","No","Yes","No","No","Known","Yes","Yes","No","Yes","No","Yes",0,0,"No","Yes",0,6,"No",2,"60","No","4-Medium","Other","Professional","No"
3005002,"Yes",153.27,761,60,0.25,246,4.7,-495,-101.9,21.3,1.3,40,0,0,263,20.3,1.7,150.7,53.7,22.7,0,0,47,1,1,"NYCBRO917",2,2,442,40,0,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,2,"No",1,"30","No","3-Good","Other","Other","Unknown"
3005010,"No",106.55,992,100,4.21,8,0,-53,-5.6,10,0.7,0,0,0,123.5,18.3,13,303,9.7,10.7,0,4.3,49,1,1,"NYCSUF516",3,2,118,36,0,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,8,"No",1,"150","No","4-Medium","Suburban","Other","Unknown"
3005050,"Yes",57.01,354,50,0,9,9.1,-70,-17,2.3,4,11.3,5,0.3,39.3,12.7,0,61.3,14.3,6.3,0,0,43,4,4,"BOSBOS617",2,2,1147,60,58,"No","No","No","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,9,"No",1,"10","No","1-Highest","Other","Other","No"
3005102,"No",19.95,10,20,0,0,0,6,0,0.3,0,4.7,0,0,0.5,0.7,0,3,1.3,0.3,0,0,45,1,1,"PHXPHX602",1,1,1375,0,0,"No","No","No","No","No","Unknown","No","No","No","No","No","No",0,0,"No","No",0,0,"No",0,"Unknown","No","1-Highest","Suburban","Other","Unknown"
3005142,"No",34.98,1,35,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,2,"STLSTL314",2,2,568,34,0,"No","Yes","Yes","No","No","Known","No","No","No","No","No","Yes",1,1,"Yes","No",0,5,"No",0,"30","Yes","1-Highest","Suburban","Crafts","No"
3005186,"No",291.57,2940,281,5.2,0,28,-506,-69.1,18.3,24,162.7,0.7,0.3,892.7,191.3,50,805,135.3,42.3,0,41.7,47,4,0,"MIAMIA305",4,4,182,50,30,"No","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,9,"No",0,"130","No","1-Highest","Other","Other","Unknown"
3005194,"No",42.45,327,45,0,18,0.3,236,21.3,4,0,14,1,0,52,18,0.7,32.3,36.3,4,0,1.3,49,1,1,"NNYBUF716",3,3,817,28,0,"No","No","No","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,4,"No",0,"10","No","4-Medium","Other","Other","No"
3005234,"No",34.09,95,30,0,0,0,23,-4.1,0.7,0.3,4.3,0,0,10.4,4,0.3,21,5,1,0,0,43,1,1,"PHIMUL609",1,1,1310,34,36,"Yes","No","No","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,9,"No",0,"Unknown","No","1-Highest","Suburban","Professional","Yes"
3005306,"No",60.59,1127,70,0,2,0,138,-0.6,25.7,2.3,15.3,2,0,372.8,19.3,8.3,71.7,58,30,0,0.3,47,1,1,"SFRSFR415",2,2,309,48,0,"No","No","Yes","No","No","Known","No","No","No","No","Yes","Yes",0,0,"No","Yes",0,6,"No",0,"30","No","1-Highest","Other","Other","No"
3005390,"No",107.03,1631,85,1.73,121,0,47,10.4,23,0.7,26,0,2,701,46,37,223.3,105.3,23.7,0,1.7,45,1,1,"NYCBRO917",7,4,274,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,3,"No",1,"30","No","1-Highest","Other","Professional","No"
3005434,"Yes",39.12,366,45,0,38,0,-89,-13.1,0.3,1,27.7,0,0,15.3,7.3,1.7,82,33.3,1.3,0,2,47,1,1,"NSHNSH615",1,1,1414,30,28,"No","No","No","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,9,"No",1,"Unknown","No","1-Highest","Suburban","Other","Yes"
3005482,"No",43.23,309,40,0.74,4,1,305,4.9,0,0,12.3,0,0,48.5,12,9.3,42,13,0,0,1.7,49,1,1,"NSHNSH615",4,3,283,50,50,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,7,"No",0,"60","No","1-Highest","Other","Other","Unknown"
3005674,"No",41.99,296,30,0,0,0,-174,-11.1,2.3,0.7,13.7,0,0,54.2,3,0,23.3,20.3,3,0,0,49,1,1,"MINMIN612",1,1,1471,44,44,"Yes","No","No","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,9,"No",0,"Unknown","No","1-Highest","Suburban","Professional","Yes"
3005802,"Yes",30.27,0,30,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,1,"OKCTUL918",1,1,1300,50,52,"Yes","No","No","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,6,"No",0,"Unknown","No","1-Highest","Town","Professional","Yes"
3005890,"Yes",20.65,17,20,0.25,2,0,-13,-0.6,0,0,2,0,0,0,1.7,0,7,1,0,0,0,45,1,1,"DETDET313",1,1,1361,40,40,"Yes","No","No","Yes","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,4,"No",0,"Unknown","No","4-Medium","Other","Other","Yes"
3005930,"Yes",19.95,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,1,"KCYKCM816",1,1,1407,52,48,"No","No","No","Yes","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,9,"No",0,"Unknown","No","1-Highest","Other","Professional","No"
3005950,"Yes",30.27,21,30,0,0,0,11,-0.3,0,0,2.3,0,0,3.4,0.7,0,3,5.3,0,0,0,43,1,1,"INDIND317",2,1,1297,30,0,"No","No","No","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,8,"No",0,"30","No","4-Medium","Other","Other","Unknown"
3006010,"No",11.54,9,5,0.74,6,0,-2,0.5,0.3,0,0.3,0,0,0,0,0,1,2,0.3,0,0,43,1,1,"BOSBOS617",1,1,1298,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"No","No",0,0,"No",0,"Unknown","No","1-Highest","Other","Other","No"
3006034,"No",16.95,4,17,0,0,0,-2,0,0,0,0,0,0,1.5,1.7,0.3,3,0,0,0,0,47,1,1,"DENDEN303",2,2,553,38,44,"No","No","Yes","Yes","Yes","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,6,"Yes",0,"30","No","1-Highest","Suburban","Other","Yes"
3006074,"No",20.97,50,20,0,3,0,26,3.1,2.7,0.3,7.3,0,0,2.6,4,0.3,38,1,3,0,0,47,2,2,"PHXPHX602",1,1,1404,56,0,"No","No","No","Yes","Yes","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,5,"No",0,"Unknown","No","1-Highest","Suburban","Other","Unknown"
3006126,"Yes",29.99,52,30,0,0,0,18,0,0.3,0.3,2,0,0,4.2,0.7,0,21,7.3,0.7,0,0.3,45,2,1,"MIAMIA305",1,1,1357,30,32,"No","No","No","Yes","Yes","Known","No","No","No","No","Yes","Yes",0,0,"No","Yes",1,2,"No",2,"Unknown","No","3-Good","Suburban","Clerical","No"
3006146,"No",96.91,462,30,2.48,258,0,-36,-8.9,3,1.3,23.3,0,0,24.7,8,0,137,51.3,4.3,0,1,47,1,1,"DETTOL419",1,1,1403,34,34,"Yes","No","No","Yes","Yes","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,7,"No",0,"Unknown","No","1-Highest","Town","Professional","Unknown"
3006226,"No",57.96,242,30,0.25,78,0,26,2.4,1,0,5.3,0,0,19.7,3.3,0,36.7,5,1,0,0,43,1,1,"PHIARD610",1,1,1294,0,0,"No","No","No","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,0,"No",0,"Unknown","No","1-Highest","Town","Other","Unknown"
3006286,"Yes",12.76,66,15,0.74,0,0,-66,-12.8,1,0,7,0.3,0,22.8,2.3,0,19.3,14,1,0,0,49,2,2,"SLCSLC801",5,3,437,28,0,"Yes","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,7,"No",0,"30","No","1-Highest","Other","Other","No"
